,protein_A,protein_B,distance
143,MED10,MED28,123.05441330159597
144,MED10,MED29,179.18062974272638
145,MED10,MED30,133.17817498749557
146,MED10,MED31,32.986562612676074
147,MED11,MED14,17.817739418904967
148,MED11,MED15,46.992234103094106
149,MED11,MED16,83.23800946082261
150,MED11,MED17,1.6034160596604115
151,MED11,MED18,1.7209828587176557
152,MED11,MED19,91.36967754129377
153,MED11,MED20,28.812986170144026
154,MED11,MED21,53.18264285460059
155,MED11,MED22,1.7051911960460293
156,MED11,MED23,54.646935531647124
157,MED11,MED24,50.963202990000525
158,MED11,MED25,115.61513840756321
159,MED11,MED27,11.678660368381331
160,MED11,MED28,1.869555341173763
161,MED11,MED29,40.55477968131496
162,MED11,MED30,1.7239547050385955
163,MED11,MED31,33.60569722532177
164,MED14,MED15,1.6928428751658982
165,MED14,MED16,2.0851890574210423
166,MED14,MED17,1.6524123558598702
167,MED14,MED18,21.460394544369414
168,MED14,MED19,1.7942288036925662
169,MED14,MED20,1.7871589185072452
170,MED14,MED21,1.7725408316876325
171,MED14,MED22,18.9578903362162
172,MED14,MED23,2.3215456058410786
173,MED14,MED24,8.760825841155295
174,MED14,MED25,36.599623249427054
175,MED14,MED27,1.7256317683677325
176,MED14,MED28,1.7546563766162646
177,MED14,MED29,1.6852468661890694
178,MED14,MED30,8.805665505797911
179,MED14,MED31,1.825866643542203
180,MED15,MED16,1.7443523153307845
181,MED15,MED17,1.5245012299109326
182,MED15,MED18,64.00323311364824
183,MED15,MED19,197.97144019529685
184,MED15,MED20,34.404453287328955
185,MED15,MED21,88.18579492185802
186,MED15,MED22,31.635100787473956
187,MED15,MED23,1.7216213288641362
188,MED15,MED24,1.1103887667148802
189,MED15,MED25,16.740128912287393
190,MED15,MED27,1.819581283548734
191,MED15,MED28,11.384499330229655
192,MED15,MED29,1.781203245000404
193,MED15,MED30,15.650353670125124
194,MED15,MED31,114.697507008653
195,MED16,MED17,15.096027391337099
196,MED16,MED18,88.07221764552091
197,MED16,MED19,243.4173290749859
198,MED16,MED20,59.7800969637889
199,MED16,MED21,139.791290973365
200,MED16,MED22,68.45540136971042
201,MED16,MED23,4.6923048707431745
202,MED16,MED24,1.6888309503525853
203,MED16,MED25,1.670150292638365
204,MED16,MED27,1.6975399254983725
205,MED16,MED28,21.068892733126706
206,MED16,MED29,2.0871229000708373
207,MED16,MED30,42.19010753719403
208,MED16,MED31,155.32577683372455
209,MED17,MED18,1.732925729802901
210,MED17,MED19,64.20563367026286
